# [SH0ES_CALIB] This is the data for LCDM distribution with a new set of data for each repetition
# 500 repetitions, 3072 points, q0f= -0.574 h0f= 0.7304
# 
# delta_h0_lcdm_max            delta_q0_lcdm_max
1.499522080215687225e-02 9.514272672383501384e-01
2.029764234954878344e-02 1.565849220216753990e+00
1.896602484857223825e-02 1.668075961355164338e+00
2.019769863779963259e-02 1.538189431715637046e+00
2.339183501068442528e-02 1.649390828759869310e+00
1.791306129915226641e-02 1.327429825018759058e+00
1.657257312233217927e-02 9.480767518176536068e-01
1.660084257657712392e-02 1.154882789446894265e+00
2.199211621415209095e-02 1.953219077108402812e+00
2.404480446597856425e-02 1.537028726227075204e+00
1.800948523799084100e-02 1.089419689206427622e+00
2.049833969378644927e-02 1.560711662473208028e+00
1.546629245548747367e-02 1.091976911189588950e+00
1.447306030091621842e-02 9.057647454836779133e-01
1.638454556227875170e-02 9.262600011652605270e-01
1.457635720269601087e-02 1.276724603086159870e+00
1.563474921776175641e-02 1.001996524826559209e+00
1.705563205364879487e-02 1.117000275881675275e+00
1.730075796860641724e-02 1.509504788924170615e+00
1.988179699129721811e-02 1.380838933716718842e+00
1.430948260197495436e-02 1.141115614279086810e+00
2.420519629949535734e-02 1.693081776065371136e+00
1.467044499527314638e-02 1.095826576750032366e+00
1.795401021627140992e-02 1.414922012227370463e+00
1.373202593174582820e-02 9.684652757191156702e-01
1.594187827143500602e-02 1.049369771791315076e+00
1.275152776497789908e-02 1.042228187376905924e+00
2.259053103514552241e-02 1.709421980090513937e+00
1.157393451442378929e-02 1.055192502096101492e+00
1.918113852667846508e-02 1.254129359680854927e+00
1.644094460494727183e-02 1.263042736530162191e+00
2.182161209884991848e-02 1.460753196412741595e+00
1.646610198046227769e-02 9.707151602987629246e-01
1.266240477937274900e-02 9.611717073742377382e-01
1.551692667253645741e-02 1.037946141085664298e+00
1.683541837323554446e-02 1.413433185850347940e+00
2.010377527866380465e-02 1.397469651302787552e+00
1.908580956956906771e-02 1.476158371427707783e+00
1.292457597023377591e-02 1.030864362526328737e+00
1.741423547670473138e-02 1.336541054059976918e+00
1.648449796688289393e-02 1.098836934951669342e+00
1.562950082760450332e-02 1.431966246245923502e+00
1.473011330224693882e-02 1.073412400855362714e+00
1.556466796579603074e-02 9.861166973238859601e-01
1.424885659970220875e-02 1.006918995929426908e+00
1.509340701818695507e-02 1.195346646401370005e+00
1.905830974130318101e-02 1.764186783233124389e+00
2.016881261922909285e-02 1.881791266936304607e+00
2.108417351131408601e-02 1.517193887303387889e+00
1.618742891837765541e-02 9.769748573056787899e-01
1.995025809409090023e-02 1.435971546393355336e+00
1.577420706443555254e-02 1.364143575267995789e+00
2.101234473644730816e-02 1.451921697604918071e+00
2.410527755629809921e-02 1.992407227331176589e+00
1.595978931409491874e-02 9.404858834859234351e-01
2.087123686443381754e-02 1.702546401687727640e+00
1.766279231520151427e-02 1.466179777897288705e+00
1.627484223800390595e-02 1.138083417168021860e+00
1.450657630725749048e-02 9.855992287581217814e-01
1.803174191966361306e-02 1.241856571843629187e+00
1.508459900897474171e-02 1.060293586397720755e+00
2.238106209533086144e-02 1.458860644156664499e+00
1.559275610293486825e-02 1.070890886239208584e+00
1.412691048314429487e-02 9.681783218767474608e-01
2.214018038285603396e-02 1.660874753423964734e+00
1.325775994023170590e-02 1.020528275409065433e+00
1.501561709392851274e-02 1.061454012563564975e+00
1.678486051212901842e-02 1.166998031054425677e+00
2.092932058291196995e-02 1.564268985805576051e+00
2.105240695517252014e-02 1.441143778838187339e+00
1.748840629014625225e-02 1.173608500654558462e+00
1.834416271396144271e-02 1.354583423543192167e+00
1.550426243221347811e-02 1.284278054602904895e+00
1.758172198177254675e-02 1.300160704420236346e+00
1.674928276873821620e-02 1.305229641127005236e+00
2.111040614727677234e-02 1.757199729100766383e+00
1.781635008787529895e-02 1.314789609671953130e+00
2.033041685046599323e-02 1.655970273615633870e+00
1.706634360493441971e-02 1.212786870819914764e+00
1.820141899415628206e-02 1.454129669693150717e+00
1.864778010309375844e-02 1.383679171271996022e+00
1.691781954469184779e-02 1.564980981597877907e+00
2.185290126036021352e-02 1.729507940011639766e+00
1.624446205695073697e-02 1.086836068408349565e+00
2.101371166043464189e-02 1.539253440646644933e+00
1.957042699408728659e-02 1.864679563099123083e+00
1.408393776732552727e-02 9.894231827649238031e-01
1.618054602715945922e-02 1.272978836919555823e+00
1.678839055910730238e-02 1.552004699144247324e+00
1.498572762722816254e-02 1.089372871554828759e+00
1.894163284978811479e-02 1.497982822887680365e+00
1.849562593989917403e-02 1.617709465051230922e+00
1.417953333108556979e-02 1.098305308455505891e+00
1.994803287994839636e-02 1.453805752787246108e+00
1.832499370027651509e-02 1.691840864706736225e+00
1.449889279043825585e-02 1.018300782519401704e+00
1.923886248600226168e-02 1.234488811636496708e+00
2.441310883890845940e-02 1.802692764503123657e+00
1.675130897389909279e-02 1.487064193855702543e+00
2.020293209853618599e-02 1.381734909407837275e+00
2.033889757438811507e-02 1.265590896806509935e+00
1.629911083731028221e-02 1.196690750015385607e+00
2.015111328416585579e-02 1.647855822134463022e+00
1.561789192658280534e-02 1.135727892730861388e+00
1.735865662692137601e-02 1.560716838251923644e+00
1.523237043845582228e-02 1.042125591086781489e+00
2.092912400137714179e-02 1.770998184912055962e+00
1.403996419483111158e-02 1.058117573582089799e+00
1.794893770435890268e-02 1.324360340130133373e+00
1.928227216198730165e-02 1.347859203546467821e+00
2.724065937791764203e-02 1.756438849408931357e+00
1.603159274197230033e-02 1.047175139126572896e+00
1.316203612122268662e-02 1.153748251147223680e+00
1.430678759923365018e-02 1.195847163610042507e+00
1.221464510105518819e-02 1.054259291780759611e+00
1.641486798234159661e-02 1.469280607218310886e+00
1.696385047160398063e-02 1.202380882732524192e+00
1.813445219255793717e-02 1.152813366316675525e+00
2.109094435648195542e-02 1.694081573208289004e+00
2.326703333898005877e-02 1.460505535591706483e+00
1.157017761271639245e-02 9.364599708827761049e-01
1.485282920063846213e-02 1.114576059098838501e+00
1.561221307493521060e-02 1.202856471025211427e+00
1.663095162735150900e-02 1.112141818001581850e+00
1.856125986124435023e-02 1.088527188293101133e+00
1.380928664961600383e-02 1.052079720196002821e+00
1.159677237889156221e-02 1.045093719050024461e+00
2.249454191181443630e-02 1.650867994924867910e+00
2.291441901667778946e-02 1.599932704085816448e+00
1.585934380216258432e-02 1.134228531998091150e+00
2.024969201537474284e-02 1.705098346358139283e+00
2.261097792867106104e-02 1.558095806346624590e+00
1.631306881261951336e-02 1.526349556722150336e+00
1.300244668140049242e-02 1.096188333985664842e+00
1.515862947212665013e-02 9.436191292441020728e-01
2.087449192389723152e-02 1.713262077300800934e+00
1.296091194658877122e-02 1.273285896571126674e+00
1.985641776697044669e-02 1.418568634340375612e+00
1.818373105267701018e-02 1.453074401824826500e+00
