# This is the data for the dw statistics for the following parameters: 
#  3072 points, q0f= -0.574, h0f= 0.7304, zup= 0.1, zdown= 0.0
#  dw_up dw_down
1.461334131939451719e+00 1.207154542954354870e+00
1.457853815783506368e+00 1.182593804937460691e+00
1.448973441974419352e+00 1.191498380247002942e+00
1.444937389983369513e+00 1.210526610475332943e+00
1.438979140847789662e+00 1.206843943120842644e+00
1.425581221393797282e+00 1.288386612784818475e+00
1.421559146259128159e+00 1.293245335563460330e+00
1.441491976591745550e+00 1.326159456637581835e+00
1.473294035486593323e+00 1.344835058713050424e+00
1.477104832487075026e+00 1.359873483382994630e+00
1.442484927144712659e+00 1.382861883764551658e+00
1.416923110796597163e+00 1.315843276333558354e+00
1.364870857846139929e+00 1.415108609142093909e+00
1.366438901758364022e+00 1.423923026860049124e+00
1.380273510759341793e+00 1.419902215695117098e+00
1.398895676958322287e+00 1.383474321955931563e+00
1.398066892143431383e+00 1.397614289351328587e+00
1.392043427225005736e+00 1.496057049231505065e+00
1.341050764177747823e+00 1.591423891929496515e+00
1.355845450117138862e+00 1.551945781314940431e+00
1.324092173572291475e+00 1.505713765101356794e+00
1.394128021067832179e+00 1.561266055156719901e+00
1.428797070649099998e+00 1.440460836780516507e+00
1.327459866604565608e+00 1.694937078748560033e+00
1.303535499822890520e+00 1.646448926995596862e+00
1.278098324062030056e+00 1.666697029281108522e+00
1.167443317213787690e+00 1.706907957220029859e+00
1.140041746639025133e+00 1.683681110444855911e+00
1.120145183170657921e+00 1.676400963840311231e+00
1.168679540286550855e+00 1.688039268823203098e+00
1.209602278537701192e+00 1.878639669298638015e+00
1.262197664773660355e+00 1.803646639253464024e+00
1.210358905799532980e+00 1.839997425584715796e+00
1.199183913660491818e+00 1.872874340451456732e+00
1.182271445522578457e+00 1.825281095535591369e+00
1.193983074144480128e+00 1.785415811332651481e+00
1.253521895332244229e+00 1.717751125993460581e+00
1.255198984808097551e+00 1.746221544026990147e+00
1.252691993069318110e+00 1.737973938504720373e+00
1.223418354965473132e+00 1.732548475219597872e+00
1.264484580668744140e+00 1.736553719208111524e+00
1.261725255237464483e+00 1.705561444628580947e+00
1.258919440963699010e+00 1.732891418643648596e+00
1.300940919374737437e+00 1.728147769580356430e+00
1.295884105587331359e+00 1.691491983991846526e+00
1.314149609991729140e+00 1.658451634385897711e+00
1.337458645776784305e+00 1.644420509472020564e+00
1.331020591534716413e+00 1.676030442951895516e+00
1.332402748570641782e+00 1.669731458322488260e+00
1.353456012327427072e+00 1.654777023361251764e+00
1.301791546948021017e+00 1.689608042382401587e+00
1.271838741996199840e+00 1.720753395077920134e+00
1.319365754728419660e+00 1.718142539250306911e+00
1.323153972045974847e+00 1.692371456513690031e+00
1.354814179235112492e+00 1.631104240812940587e+00
1.337739242324986977e+00 1.556725574961278724e+00
1.338745105539298264e+00 1.603062894642078406e+00
1.376790942735948153e+00 1.578505924380065206e+00
1.487748685560430273e+00 1.434911651446578285e+00
1.582872737405332852e+00 1.370587789314232863e+00
1.549474433283240860e+00 1.307290499928936534e+00
1.511569666246658894e+00 1.256541704993859199e+00
1.475144033215759265e+00 1.257364375176060589e+00
1.484433917651691637e+00 1.215876460483687804e+00
1.449630950647573746e+00 1.188811957846904521e+00
1.464570579799480132e+00 1.201667998918532154e+00
1.452073209592089409e+00 1.200167542573117752e+00
1.442225110360587426e+00 1.249259340051848355e+00
1.447951323631796017e+00 1.262526401191498726e+00
1.440342314283137526e+00 1.305881237674199058e+00
1.400290782862195327e+00 1.314598783061571297e+00
1.434688279385704313e+00 1.369850440134140701e+00
1.452141393626143806e+00 1.358157396241302717e+00
1.450518072060807073e+00 1.341484642529687576e+00
1.450998801344274725e+00 1.358218651307898206e+00
1.406010539493961042e+00 1.488640516774562217e+00
1.383166302471121156e+00 1.414458647240191214e+00
1.371029727515101104e+00 1.433899064051754157e+00
1.375632687650050423e+00 1.441150283219975847e+00
1.386456851195894568e+00 1.420025448359405695e+00
1.395402285289420341e+00 1.403200674089078337e+00
1.399460398972129482e+00 1.420797474993584997e+00
1.379941373933436966e+00 1.532433965066099857e+00
1.313299273947475143e+00 1.554250936492044710e+00
1.317511630279667445e+00 1.586827839474207247e+00
1.324403007639133989e+00 1.557901728447604883e+00
1.405159025414823404e+00 1.541298570750437191e+00
1.285137523792166281e+00 1.674284703347995951e+00
1.365019752096878092e+00 1.699274246741771410e+00
1.359060156588780544e+00 1.747171274329232027e+00
1.269510518803041554e+00 1.754957026136026998e+00
